S/N,DATE,NAME_OF_ENTITY,NATURE_OF_BUSINESS,BUSINESS_PROJECT,CONTACT_NAME_PHONE_EMAIL_OF_PROMOTER,PROPOSED_FACILITY_AMOUNT,PURPOSE_OF_FACILITY,VALUE_CHAIN_CATEGORY,NAME_OF_BANK,BORROWING_RELATIONSHIP,FRESH_LOAN_REQUEST,REQUEST_SUBMITTED_TO_BANK,SECURITY_PROPOSED,FEASIBILITY_STUDY_AVAILABLE,HIGHLIGHTS_OF_DISCUSSION,RM_BM_NAME_PHONE_NUMBER,RM_BM_EMAIL,STATUS_UPDATE,CHALLENGES,PROPOSED_NEXT_STEPS,STATE,TARGET
150,31/1/2023,FELLAB FARMS ,INTEGRATED FARM,EXISTING,OB10150,10000000,EXPANSION OF VEGETABLE FARM( FRESH TOMATOES),UPSTREAM,STANBIC IBTC,YES,YES,YES,YET TO BE DETERMINED BY THE COUNTER PARTY,YES,NIL,NIL,NIL,,,,AKWA IBOM,0
151,31/01/2024,MORARI FARMS,"VEGETABLE FARM( CUCUMBER,BELL PEPPER,TOMATOES,GREEN BEANS,WATER MELON. ETC)",EXISTING,OB10151,10000000,EXPANSION OF THE VEGETABLE FARM,UPSTREAM,STANBIC IBTC,YES,YES,YES,TO BE DETERMINED BY COUNTER PARTY,YES,NIL,NIL,NIL,FOLLOW UP WITH COUNTER PARTY /OBLIGOR,,FOLLOW WITH  THE REGIONAL AGRIC DESK OFFICER/OBLIGOR,AKWA IBOM,0
152,31/03/2024,Draka Farms,Cassava Cultivation,NEW  ,OB10152,1485809779,Cassava cultivation,UPSTREAM,Polaris/Stanbic IBTC Bank,NO,YES,YES,Cash Collateral,YES,NIL,NIL,NIL,Bank engagement and loan documentation ongoing,Slow response from Polaris Bank,Continuous Bank engagement and loan documentation,BAYELSA,0
153,1/31/2024,Bubagha Farms,Palm oil and kenel oil,EXISTING,OB10153,23000000000,Palm oil&kenel oil,MIDSTREAM,Access Bank,NO,YES,YES,Cash Collateral,YES,NIL,NIL,NIL,,,,BAYELSA,1
154,1/31/2024,FOUNDATION FOR SUSTAINABLE ENTERPRISE DEVELOPMENT INITIATIVE,INTEGRATED FARM/PROCESSOR,EXISTING,OB10154,150000000,Procurement of facility,MIDSTREAM,POLARIS,YES,YES,YES,YES,YES,NIL,NIL,NIL,POLARIS BANK IN DISCUSSION WITH THE OBLIGOR ,,AWAITING THE BANKS DECISION ,RIVERS,0
155,1/31/2024,BILLIONAIRE FARM,"AQUACULTURE, PALMOIL AMD POULTRY ",EXISTING,OB10155,100000000,FARM EXPANSION ,UPSTREAM AND MIDSTREAM,STANBIC,YES,YES,YES,YES,YES,NIL,NIL,NIL,LOAN APPLICATION HAS BEEN MADE ,,FOLLOW UP,RIVERS,0
156,4/3/2024,SILVEROVER ENGINEERING AND CONSULTANT,RICE PROCESSING,EXISTING,OB10156,1000000000,PURCHASE OF RICE PROCESSING PLANT,MIDSTREAM,POLARIS ,YES,YES,YES,YES,YES,NIL,NIL,NIL,POLARIS BANK IN DISCUSSION WITH THE OBLIGOR ,,AWAITING THE BANKS DECISION ,RIVERS,0
157,4/3/2024,SIGNATURE FEEDS,FEED MILL,EXISTING,OB10157,50000000,PURCHASE OF GENERATORS FOR FEED PRODUCTION ,MIDSTREAM,POLARIS,YES,YES,YES,,YES,NIL,NIL,NIL,,,,RIVERS,0
158,30/01/2024,DAMSWILL INTERGRATED FARMS,POULTRY FARMING,EXISTING,OB10158,200000000,PURCHASE OF BATTERY CAGE,UPSTREAM,POLARIS,NO,NO,YES,,YES,NIL,NIL,NIL,,,,RIVERS,0
159,30/01/2024,Osino Abu Enterprise,"Commodity Trading (Cocoa beans, cashew nuts, palm karnel etc)",EXISTING,OB10159,100000000,Business Expansion,DOWNSTREAM,Stanbic IBTC,NO,YES,YES,Mortgage,YES,NIL,NIL,NIL,Conversation ongoing between the client and the bank,None,Follow up with the bank to know the current status of the transactions,EDO,1
160,30/01/2024,Premiere Plantation,Ethanol production,EXISTING,OB10160,5000000000,"Establishment of a 120,000 litres/day ethanol factory",MIDSTREAM,Stanbic IBTC,NO,YES,NO,Mortgage,YES,NIL,NIL,NIL,Conversation ongoing between the client and the bank,None,Follow up with the bank to know the current status of the transactions,EDO,0
161,30/01/2024,UNIGOLD,Poultry ,NEW  ,OB10161,989000000,Purchase of birds and feeds,UPSTREAM,Union bank/ Bank of Industry,NO,YES,YES,Bank Guarantee,YES,NIL,NIL,NIL,The poultry farm construction is at its late stage of completion,None,Follow up with the client to ensure speedy completion and launch of the poultry farm,EDO,0
162,3/4/2024,Saturn Farms,Palm oil farming,EXISTING,OB10162,5000000000,"Establishment of 5,000 ha oil palm plantation under the Edo state oil palm program (ESOPP)",UPSTREAM,Stanbic IBTC,NO,YES,YES,Mortgage,YES,NIL,NIL,NIL,Conversation ongoing between the client and the bank,None,Follow up with the client and the bank to ensure successful closure of the transaction,EDO,1
163,3/4/2024,Kenelinc Resources Ltd,palm oil processing ,EXISTING,OB10163,50000000,"expansion, working capital and equipment purchase ",MIDSTREAM,sterling bank,YES,YES,YES,landed property ,NO,NIL,NIL,NIL,,high interest rate and the 90days cycle of return ,continuous communication and persuasion to ensure the client accepts the offer,ABIA,0
164,3/4/2024,Aluno Foods Nig Ltd,palm oil processing ,EXISTING,OB10164,300000000,expansion and equipment purchase,MIDSTREAM,JAIZ bank,NO,YES,NO,landed property ,YES,NIL,NIL,NIL,,reluctance on the side of the bank,follow up on the bank,ABIA,0
165,31/01/2024,Emmpypea global resources Ltd,rice processing ,NEW  ,OB10165,0,farming and setting up a new rice processing mill,UPSTREAM AND MIDSTREAM,,NO,NO,NO,,YES,NIL,NIL,NIL,,,,ABIA,0
166,31/01/2024,Coscharis Farm,Processing (Rice),EXISTING,OB10166,1800000000,Out-grower Scheme,MIDSTREAM,Stanbic IBTC,NO,YES,NO,Collateral/CRG,YES,NIL,NIL,NIL,Waiting on the Bank to schedule a meeting with Coscharis and the farmers,Bank's work rate is too slow,Follow up with the Bank,ANAMBRA,0
167,31/01/2024,Wisdom Pack,Processing (Rice),EXISTING,OB10167,400000000,Paddy Aggregation,MIDSTREAM,Stanbic IBTC,NO,YES,YES,Collateral/CRG,YES,NIL,NIL,NIL,Obligor to resubmit his financials,Bank's work rate is too slow,Follow up with the Bank,ANAMBRA,1
168,6/3/2024,Eagle Food,Oil Processing,EXISTING,OB10168,500000000,Oil Processing,MIDSTREAM,Stanbic IBTC,NO,YES,YES,Collateral/CRG,YES,NIL,NIL,NIL,Awaiting feedback/response from the Bank,Bank's work rate is too slow,Follow up with the Bank,ANAMBRA,1
169,6/3/2024,Naira Rice,Rice Processing,EXISTING,OB10169,300000000,Paddy Aggregation/Equipment purchasing,MIDSTREAM,Stanbic IBTC,NO,YES,YES,CRG/Warehousing,YES,NIL,NIL,NIL,Obligor is putting together the required documents.,Interest rate and flunctuation of prices and commodity,Follow up with the obligor,ANAMBRA,1
170,6/3/2024,Wisdom Pack Rice,Rice Processing,EXISTING,OB10170,500000000,Paddy Aggregation,MIDSTREAM,Stanbic IBTC,NO,YES,YES,CRG/Warehousing,YES,NIL,NIL,NIL,Awaiting response from the bank,Bank's work rate is too slow,Follow up with the Bank,ANAMBRA,1
171,6/3/2024,Machuriel Shalom Global Agro Ent.,Input Suplier,EXISTING,OB10171,0,Input supply (fertilizer),PRE-UPSTREAM,,NO,NO,NO,CRG/Warehousing,YES,NIL,NIL,NIL,In progress,,,ANAMBRA,0
172,3/4/2024,CY Rose Rice Mill,Rice Processing,EXISTING,OB10172,0,Paddy Aggregation,MIDSTREAM,Stanbic IBTC,NO,YES,NO,CRG/Warehousing,YES,NIL,NIL,NIL,In progress,Interest rate and flunctuation of prices and commodity,,ANAMBRA,0
173,2/2/2024,Joetech,Input Suplier,EXISTING,OB10173,0,Input suppy (fertilizer),PRE-UPSTREAM,Stanbic IBTC,NO,YES,YES,CRG/Warehousing,YES,NIL,NIL,NIL,The bank is reworking their framework so as to suit the fertilizer financing facility,Slow bank work rate,Follow up with the bank,ANAMBRA,0
174,2/2/2024,SCON Global Resources Ltd,Palm Kernel Processing,EXISTING,OB10174,20000000,Working capital,MIDSTREAM,Stanbic IBTC,YES,YES,NO,LANDED PROPERTY,YES,NIL,NIL,NIL,Obligor pull out of the facility,The Obligor IDB was not completely given to him. He pull out due to the experience.,Following up while waiting for his response to reconsider.,EBONYI,0
175,2/2/2024,Abakaliki Rice Mill Association,Rice Processing,EXISTING,OB10175,0,Procurement of machines,MIDSTREAM AND DOWNSTREAM,Bank Of Industry,YES,YES,NO,MACHINE TO BE PROCURED,YES,NIL,NIL,NIL,Follow up on the counterparty and the obligor.,Transaction at a standstill as the millers disclosed they couldn’t meet up with the stringent bank conditions,"Following a meeting held between the clients and BOI, the bank representative promised to relay the client's  demands to his superior and will revert to the clients in due time. Following up.",EBONYI,0
176,29/03/2024,ITST International Ltd.,Cassava Processing,EXISTING,OB10176,150000000,Expansion,UPSTREAM AND MIDSTREAM,Sterling ,YES,YES,NO,LANDED PROPERTY,YES,NIL,NIL,NIL,Continued discussion with the obligor on the best approach to commercial bank and the benefits of NIRSAL CRG.,"The preferred bank, Sterling is yet to commence operations in the state.","The preferred bank, Sterling is yet to commence operations in the state. Meet with Sterling bank BM if the bank commence operation",EBONYI,0
177,29/03/2024,PamRice Production and Milling Services Limited,Rice Processing,EXISTING,OB10177,50000000,Expansion,MIDSTREAM,UBA,NO,YES,YES,Landed Property,YES,NIL,NIL,NIL,The Client has been advised to build up his account for eligibility of his loan request.,The client has been advised to build up his account for eligibility of his loan request,Continuos follow up with the client to keep building up his account to enable him access the loan.,ENUGU,0
178,29/03//2024,Havi Farm Ventures LTD,Poultry,EXISTING,OB10178,20000000,Expansion,UPSTREAM,STANBIC IBTC,NO,YES,YES,Landed Property,YES,NIL,NIL,NIL,The Bank internal processes is ongoing.,Delay in response time from the bank,Continuous engagement with the bank for speedy response to the client request,ENUGU,0
179,31/01/2024,Transfiguration Farms LTD,Rice Processing,EXISTING,OB10179,50000000,Expansion,MIDSTREAM,STANBIC IBTC,NO,YES,YES,Landed Property,YES,NIL,NIL,NIL,The Client has been advised to build up his account for eligibility of his loan request,The client has been advised to build up his account for eligibility of his loan request,Continuos follow up with the Bank.,ENUGU,0
180,31/01/2024,Bora Farms Limited,Poultry,EXISTING,OB10180,70000000,Expansion,MIDSTREAM,FCMB,NO,YES,YES,Landed Property,YES,NIL,NIL,NIL,The Bank internal processes is ongoing.,Delay from the Bank on the loan approval,Awaiting response from the Bank on the status of the loan application.,ENUGU,0
181,31/01/2024,Manglore Farms Limited,Cashew Processing,EXISTING,OB10181,124000000,Expansion,MIDSTREAM,NEXIM/Fidelity Bank/BOI,NO,YES,YES,Landed Property,YES,NIL,NIL,NIL,The Bank is currently conducting their due diligence on the client cashflow to acertain obtainability of the proposed amount. ,"Delay from the Bank on the issue of Bank guarantee, as well as delay in providing the adequate security request by the bank.",Continous follow up with the obligor on the status of his loan application.,ENUGU,0
182,31/01/2024,BASICON ENGINEERING COY LTD,AGRO INDUSTRIAL MACHINERYFABRICATION ,EXISTING,OB10182,235562500,PURCHASE OF MACHINERY/EQIPMENT,UPSTREAM,TAJ BANK,YES,YES,YES,C of O,YES,NIL,NIL,NIL,,,,IMO,0
183,31/01/2024,JOHN MADU FARMS,AQUACULTURE ( CATFISH),EXISTING,OB10183,100000000,EXPANSION,UPSTREAM,STANBIC IBTC,YES,YES,YES,C of O,YES,NIL,NIL,NIL,,,,IMO,0
184,31/01/2024,OJENA FARMS,"PROCESSING ( OIL PALM, RICE & CASSAVA)",EXISTING,OB10184,100000000,EXPANSION,UPSTREAM,POLARIS BANK,YES,YES,YES,POWER OF ATTORNEY ( CASH COLLATERAL),YES,NIL,NIL,NIL,,,,IMO,0
185,31/01/2024,OMARIT FOODS,PROCESSING (FUFU),EXISTING,OB10185,50000000,EXPANSION,UPSTREAM,UNITY BANK,YES,YES,YES,FEDERAL ALLOCATION PAPER,YES,NIL,NIL,NIL,,,,IMO,0
186,31/01/2024,,,EXISTING,OB10186,50000000,EXPANSION,UPSTREAM,STANBIC IBTC,YES,YES,YES,CASH COLLATERAL,YES,NIL,NIL,NIL,,,,IMO,0
187,31/01/2024,,"PROCESSING ( OIL PALM, RICE & COCOA)",EXISTING,OB10187,200000000,EXPANSION,MIDSTREAM,TAJ BANK,YES,YES,YES,POWER OF ATTORNEY ,YES,NIL,NIL,NIL,,,,IMO,0
188,31/01/2024,BEMIDOL GLOBAL,POULTRY,EXISTING,OB10188,20000000,PURCHASE  OF INPUTS,UPSTREAM,STANBIC IBTC,NO,YES,YES,INVENTORY FARMLAND,YES,NIL,NIL,NIL,Review of loan application process flow,NIL,Follow up with client,DELTA,0
189,31/01/2024,OSECUL NIGERIA LTD,FISH FEED MILLING / FISH FARMING,EXISTING,OB10189,100000000,WORKING CAPITAL,UPSTREAM,FIDELITY BANK,YES,YES,YES,FARM FACILITY,YES,NIL,NIL,NIL,Review of loan application process  flow,NIL,Follow up with client,DELTA,0
190,31/01/2024,MARROLS RICE PROCESSOR,RICE PROCESSOR,EXISTING,OB10190,994310300,WORKING CAPITAL,MIDSTREAM,JAIZ,YES,YES,YES,FARM FACILITY,YES,NIL,NIL,NIL,Review of loan application process flow,NIL,Follow up with client,DELTA,0
191,31/01/2024,BENJULLY  FARM,FISH FARMING,EXISTING,OB10191,120000000,WORKING CAPITAL,UPSTREAM,ZENITH,NO,YES,YES,FARM FACILITY,NO,NIL,NIL,NIL,Review of loan application  process flow,NIL,Follow up with client,DELTA,0
192,31/01/2024,HARRY INTEGRATED FARMS,POULTRY,EXISTING,OB10192,250000000,EQUIPMENT FINANCING,UPSTREAM,PREMIUM TRUST,NO,YES,YES,FARM FACILITY,YES,NIL,NIL,NIL,Review of loan application process flow,NIL,Follow up with client,DELTA,0
193,31/01/2024,FEKOMA GLOBAL,POULTRY,EXISTING,OB10193,20000000,WORKING CAPITAL,UPSTREAM,FIDELITY BANK,YES,YES,YES,FARM FACILITY,YES,NIL,NIL,NIL,Review of loan application  process flow,NIL,Follow up with client,DELTA,0
194,5/2/2024,URAIDENE  VENTURES,OIL PALM PROCESSSING,EXISTING,OB10194,16450000000,WORKING CAPITAL,UPSTREAM,UNION BANK,YES,YES,YES,FARM FACILITY,NO,NIL,NIL,NIL,Commencement of project monitoring,,Follow up with HQ,DELTA,0
195,31/01/23,IMC ,OIL PALM PROCESSSING,EXISTING,OB10195,500000000,EQUIPMENT FINANCING/ WORKING CAPITAL,UPSTREAM,UNION BANK,YES,YES,YES,FARM FACILITY,YES,NIL,NIL,NIL,"The bank is carring out their due deligent exercise , therefore, we await their feed back for further engagement. ",,,DELTA,0
196,31/01/23,ANNIE GLIDDEN COMMODITIES NIGERIA LIMITED,CASHEW PROCESSING,EXISTING,OB10196,150000000,PURCHASE OF CASHEW NUTS/BUSINESS EXPANSION,MIDSTREAM,UNION BANK,YES,YES,YES,LANDED PROPERTY / EQUIPMENT,YES,NIL,NIL,NIL,THE ACCOUNT OFFICER IS AWARE AND READY TO ASSIST THE OBLIGOR TO OBTAIN CREDIT FACILITY,,,,0
197,31/01/23,GUTHRIE NIGERIA LIMITED,RICE PROCESSING,EXISTING,OB10197,1400000000,RICE CULTIVATION,MIDSTREAM,ECOBANK,YES,YES,YES,LANDED PROPERTY ( FIXED ASSET ),YES,NIL,NIL,NIL, THE OBLIGOR IS WORKING ON SUBMISSION OF THE REQUIRED DOCUMENTS TO THE BANK ,,,,0
198,3/3/2024,NIGERIA ASSOCIATION OF WOMEN IN AGRICULTURE,OUTGROWER SCHEME,EXISTING,OB10198,55000000,RICE CULTIVATION,UPSTREAM,UNION BANK,NO,YES,NO,EQUITY CONTRIBUTION,NO,NIL,NIL,NIL,THE ACCOUNT OFFICER IS AWARE AND READY TO ASSIST THE OBLIGOR TO OBTAIN CREDIT FACILITY,,,,0
199,3/4/2024,FLYWHEEL INFRASTRUCTURES LIMITED,PRIMARY PRODUCTION,EXISTING,OB10199,250000000,PRIMARY PRODUCTION,UPSTREAM,POLARIS BANK,NO,NO,YES,NIL,NO,NIL,NIL,NIL,THE OBLIGOR HAS DRAFTED A LETTER OF INTENT AND IT HAS BEEN FORWARDED TO THE HQ,1000 HECTARES IN FOUR LOCATIONS,THE OBLIGOR HAS DRAFTED A LETTER OF INTENT AND IT HAS BEEN FORWARDED TO THE HQ,FCT,0
200,3/4/2024,Haiba Yamaha Nig Limited,Commodity trading and distributio of agric equipment,NEW  ,OB10200,70000000,Procurement of grains,DOWNSTREAM,Jaiz Bank,YES,YES,YES,Legal charge on fixed asset,YES,NIL,NIL,NIL,Documentation stage,Obligor do not provide necessary documents on time,,KOGI,0
201,3/4/2024,Emgali Nig Limited,Marketing of cashew nuts,EXISTING,OB10201,200000000,Procurement of cashew nuts,DOWNSTREAM,Jaiz Bank,YES,YES,YES,Legal charge on fixed asset,YES,NIL,NIL,NIL,Documentation stage,There is delay in documentation,,KOGI,0
202,3/4/2024,Johara Farm,Poultry,EXISTING,OB10202,250000000,Poultry expanssion,PRE-UPSTREAM,Jaiz Bank,YES,YES,YES,Legal charge on fixed asset,YES,NIL,NIL,NIL,Documentation stage,There is delay in documentation from the client,,KOGI,0
203,2/2/2024,Emora Global Agro Limited,Import and distribution of chemical and fertilizer,EXISTING,OB10203,21000000,Business expanssion,DOWNSTREAM,Jaiz Bank,YES,YES,YES,Cash deposit and mortgage   ,YES,NIL,NIL,NIL,Documentation stage,,,KOGI,0
204,2/2/2024,Jelneng Rice NIG LTD,Rice processing ,EXISTING,OB10204,50000000,Procurement of paddy ,MIDSTREAM,First Bank PLC,NO,YES,YES,Equity contribution,YES,NIL,NIL,NIL,submission of documents requested by the counterparty,The RM in charge of transaction resigned and transaction was reassigned to another staff. ,Promoter submitting the requested document and bank presenting the offer letter.,PLATEAU,0
205,5/3/2024,Benny bite foods ,Maize Processing ,EXISTING,OB10205,1000000000,Working capital,MIDSTREAM,Union bank and BOI,NO,YES,NO,All asset debenture ,YES,NIL,NIL,NIL,submission of documents requested by the counterparty,,submission of documents and transaction processing ,PLATEAU,0
206,3/2/2024,Plateau Duncan Fertilizer Company Ltd ,Ferilizer production/blending,EXISTING,OB10206,5013445000,Working capital for the procurement of NPK fertilizer raw materials ,MIDSTREAM,UBA ,NO,YES,NO,Fixed/floating asset and NIRSAL's CRG,YES,NIL,NIL,NIL,Customer to submit company's profile and cashflow,,Promoter to submit company's profile and cashflow,PLATEAU,0
207,7/3/2024,VIANS 100%,PRIMARY PRODUCTION,EXISTING,OB10207,50000000,TO FINANCE THE PROCUREMENT OF RAW MATERIALS THAT WILL BE UTILIZED IN THE PROCESSING OF GROUNG NUT AND PALM OIL,MIDSTREAM,FIDELITY,NO,YES,YES,NIRSAL CRG,NO,NIL,NIL,NIL,FOLLOW UP WITH THE BANK ON THE TRANSACTION,NIL,CONTINOUS FOLLOW UP WITH THE BANK AND THE CLIENT,NASSARAWA,0
208,7/3/2024,MAKUNGUJI AND SONS NIGERIA LIMITED,PRIMARY PRODUCTION,EXISTING,OB10208,1000000,TO FINANCE THE PURCHASE OF RICE MILLING MACHINE,MIDSTREAM,JAIZ,NO,YES,YES,NIRSAL CRG,YES,NIL,NIL,NIL,THE NFO TEAM AWAITS NOTIFICATION FROM THE HEAD OFFICE ON PAYMENT OF THE CRG AND NFO FEE,NIL,FOLLOW UP WITH THE HEAD OFFICE ON THE TRANSACTION,NASSARAWA,1
209,7/3/2024,EMERALD SERVICES AND RESOURCE MANAGEMENT LIMITED,PRIMARY PRODUCTION,EXISTING,OB10209,5000000,"TO FINANCE PURCHASE OF INDUSTRIAL DEFEATHERING MACHINE, GENERATOR, INDUSTRIAL CHICKEN CUTTER, DAY OLD CHICKEN, FISH FEED AND FINGERLINGS",UPSTREAM AND MIDSTREAM,JAIZ,NO,YES,YES,NIRSAL CRG,YES,NIL,NIL,NIL,THE CLIENT AWAITS DISBURSEMENT BY THE BANK,DELAY IN DISBURSEMENT BY THE BANK DESPITE THE CLIENT MEETING ALL REQUIREMENTS,FOLLOW UP WITH THE BANK,NASSARAWA,1
210,7/3/2024,BARAU EGGA VENTURES,PRIMARY PRODUCTION,EXISTING,OB10210,1000000,"THE FINANCE THE PURCHASE OF FABRICATED GROUNDNUT MILLING MACHINE, GROUNGNUT SEED AND STAFF SALARY",MIDSTREAM,JAIZ,NO,YES,YES,NIRSAL CRG,YES,NIL,NIL,NIL,THE NFO TEAM AWAITS NOTIFICATION FROM THE HEAD OFFICE ON PAYMENT OF THE CRG AND NFO FEE,NIL,FOLLOW UP WITH THE HEAD OFFICE ON THE TRANSACTION,NASSARAWA,1
211,31/01/2024,R&E FOODS LIMITED,PRIMARY PRODUCTION,EXISTING,OB10211,30000000,TO FINANCE THE PURCHASE OF AGRICULTURAL PRODUCE (MAIZE) AGGREGATION AND SUPPLY TO PROCESSORS,MIDSTREAM,KEYSTONE ,NO,YES,YES,NIRSAL CRG,YES,NIL,NIL,NIL,LOAN PROCESSING ONGOING,INABILITY BY THE CLIENT TO PROVIDE COLLATERAL ON LOAN AS REQUESTED BY THE BANK,CONTINOUS FOLLOW UP ON THE TRANSACTION ,NASSARAWA,1
212,31/01/2024,Golden Stone Free Rice Limited,Rice Processing,EXISTING,OB10212,128000000,Paddy Aggregation/Local Equipment Financing,MIDSTREAM,First Bank,YES,YES,YES,Landed Property,YES,NIL,NIL,NIL,Discussions with the counterpart is ongoing,NFO is following up on the deal for a possible approval,The Bank is checking annual turnover of the client for a possible approval of the facility,BENUE,0
213,31/01/2024,Abeda ,Produce Aggregation/Warehousing,EXISTING,OB10213,100000000,Produce Aggregation/Warehousing,MIDSTREAM,First Bank,YES,YES,YES,Landed property,YES,NIL,NIL,NIL,Follow up with the client/Bank for a possible approval,"Following multiple business meetings with the obligor and the bank, the obligor seeks a N100 million loan for produce aggregation.","Currently, the branch Manager of First Bank of Nigeria Plc– Gboko, said he will look at where the deal ended last year and start from there to ensure that the deal comes through.",BENUE,0
214,31/01/2024,Rikadawa Foods Nigeria Limited,Produce Aggregation (Rice),EXISTING,OB10214,400000000,Produce Aggregation (Rice),MIDSTREAM,Fidelity Bank,YES,YES,YES,Landed property,YES,NIL,NIL,NIL,Follow up with the client/Bank for a possible approval,The parties have initiated the necessary steps that will enhance the application for NIRSAL CRG cover.,"Currently, correspondence with the bank’s branch manager stated that they are awaiting approval for the loan facility from their management.",BENUE,0
215,31/01/2024,AN Trading Nigeria Limited,Produce Aggregation/Warehousing,EXISTING,OB10215,40000000,Produce Aggregation/Warehousing,MIDSTREAM,Union Bank,YES,YES,YES,Business Premises and Apartment with R of O/Cash Equity,YES,NIL,NIL,NIL,Follow up with the client/Bank for a possible approval,The client is seeking a N40 million loan from Union Bank Plc for support produce aggregation. The Manager assured the NFO that the client's existing N60 million loans with the bank can run concurrently with the new facility.,"Presently, the bank is undergoing credit checks on the client as part of the approval criteria for the requested facility. The NFO is actively tracking progress and seeking updates on the ongoing credit evaluation process.Presently, the bank is undergoing credit checks on the client as part of the approval criteria for the requested facility. The NFO is actively tracking progress and seeking updates on the ongoing credit evaluation process.",BENUE,0
216,29/02/2024,Ama Grain Limited,Produce Aggregation/Warehousing,EXISTING,OB10216,100000000,Produce Aggregation/Warehousing,MIDSTREAM,Sterling Bank,YES,YES,YES,Landed property,YES,NIL,NIL,NIL,Follow up with the client/Bank for a possible approval,NFO is dedicated to monitoring and will persist and diligently following up on the transaction's status.,"The company has concluded account opening processes and the account is operational currently. However, the bank is currently carrying out turnover on the client.",BENUE,0
217,2/6/2024,LHYW Livestock Services LTD,Warehousing/Poultry Feeds,EXISTING,OB10217,100000000,"Equipment financing/Working Capital
",PRE-UPSTREAM,Fidelity Bank,YES,YES,YES,Landed Property,YES,NIL,NIL,NIL,Follow up with the client on his choice of counterparty.,NFO is dedicated to monitoring and will persist and diligently following up on the transaction's status.,,BENUE,0
218,3/28/2024,AFUWA ENTERPRISE ,POULTRY AND FEEDS ,EXISTING,OB10218,80000000,EXPANSION ,UPSTREAM,JAIZ,NO,NO,NO,,NO,NIL,NIL,NIL,,,,ZAMFARA,0
219,5/2/2024,BAHAMIF GLOBAL SERVICES ,FERTILIZER FINANCING FRAME WORK ,EXISTING,OB10219,100000000,,UPSTREAM,FIDELITY BANK ,NO,NO,NO,,NO,NIL,NIL,NIL,,,,ZAMFARA,0
220,14/2/2024,ABUMARSH INVESTMENT LIMITED,FERTILIZER DEALERSHIP,EXISTING,OB10220,100000000,FERTILIZER FRAMEWORK,PRE-UPSTREAM,STANBIC IBTC BANK,NO,YES,YES,FERTILIZER AND EQUITY CONTRIBUTION,YES,NIL,NIL,NIL,"DOCUMENTATION ONGOING,AWAITING FEEDBACK FROM THE BANK",NOT ENCOUNTERED YET,,SOKOTO,1
221,2/4/2024,AIA KOJIYO GEN INVESTMENT NIG LIMITED,FERTILIZER DEALERSHIP,EXISTING,OB10221,80000000,FERTILIZER FRAMEWORK,PRE-UPSTREAM,STANBIC IBTC BANK,NO,YES,YES,FERTILIZER AND EQUITY CONTRIBUTION,YES,NIL,NIL,NIL,DOCUMENTATION ON PROCESS,NILL,,SOKOTO,1
222,2/4/2024,MACCAT FERTILIZER AND CHEMICALS,FERTILIZER PROCESSOR,NEW  ,OB10222,1000000000,BANK GUARANTEE,MIDSTREAM,UNION BANK PLC,NO,YES,YES,COLLATERAL ,YES,NIL,NIL,NIL,The client is still working on the collateral to be used.,The only challenge we have is for the client to present the collateral to the bank.,The team will continue follow up on the Client.,KEBBI,0
223,2/4/2024,ABS ALBISHIRI ENTERPRISE NIG. LTD,PADDY AGGREGATION,EXISTING,OB10223,153000000,WORKING CAPITAL,MIDSTREAM,UNION BANK PLC,NO,YES,YES,WHAREHOUSE,NO,NIL,NIL,NIL,The team still await a response from the bank officials.,There is no challenge at the moment.,The team will continue follow up on the Bank.,KEBBI,0
224,15/01/2024, NAANDA INVESTMENT,SUPER AGRO DEALER,EXISTING,OB10224,150000000,FERTILIZER FINANCING FRAMEWORK,PRE-UPSTREAM,STANBIC IBTC BANK,NO,YES,YES,WHAREHOUSE,YES,NIL,NIL,NIL,Client has started using the account for some transactions to get a good turn over on the account. ,The only challenge we have is for the client to have a good turn over on the account.,The team will continue follow up on the Client.,KEBBI,0
225,30/01/2024,SAULAWA FARMS LTD,POULTRY (LAYERS),EXISTING,OB10225,50000000,EXPANSION ,UPSTREAM,JAIZ BANK,YES,YES,YES,,NO,NIL,NIL,NIL,WE ARE AWAITING THE BANK APPROVAL.,,WE ARE AWAITING THE BANK APPROVAL,KATSINA,0
226,2/4/2024,ABS RICE MILL,RICE MILL,EXISTING,OB10226,110000000,EXPANSION ,UPSTREAM,UBA BANK,NO,YES,NO,,YES,NIL,NIL,NIL,THE OBLIGOR HAS OPEN AN ACCOUNT WITH UBA AND HAS SUBMITTED HIS LOAN PROPOSAL AND FEASIBILITY STUDY TO THE BANK.,,WE ARE AWAITING THE BANK TO THEIR DUE DILIGENCE. ,KATSINA,0
227,2/29/2024,ALHAJI MAJE AND SONS,FERTILIZER SUPPLY,EXISTING,OB10227,50000000,TO INCREASE HIS CAPACITY OF FERTILIZER SUPPLY,PRE-UPSTREAM,JAIZ BANK,NO,NO,NO,NIL,NO,NIL,NIL,NIL,WE ARE WAITING FOR THE OBLIGOR TO CONTACT US ABOUT HIS SUBMISSION OF LOAN PROPOSAL TO HIS BANK,NIL,WE WILL CALL THE OBLIGOR TO KNOW THE STATUS OF HIS LOAN PROPOSAL,KATSINA,0
